date,su
20130701,88449.04392774
20130702,349860.78719609
20130703,373764.3344606
20130704,594411.78652072
20130705,625682.97329944
20130706,466028.9609054
20130707,379236.80786389
20130708,620944.48886487
20130709,758652.61954888
20130710,685741.76166837
20130711,743743.304415495
20130712,743129.23015972
20130713,634079.95358804
20130714,437589.45050515
20130715,645159.76779014
20130716,913678.608231638
20130717,909970.97165578
20130718,921083.83293845
20130719,851265.46710804
20130720,717096.26466199
20130721,471048.98895094
20130722,850465.35811461
20130723,941932.6637972
20130724,1021033.61608585
20130725,1026209.96702203
20130726,1078452.49657237
20130727,818144.564711089
20130728,590759.13464015
20130729,1058806.12293211
20130730,1271554.62238465
20130731,1697994.4484212
20130801,415416.26447516
20130802,521664.31120733
20130803,499958.98991006
20130804,301064.03674016
20130805,593415.01137646
20130806,673629.7058579
20130807,637569.01502126
20130808,496573.46202692
20130809,414166.92907214
20130810,408753.10814505
20130811,369574.51711227
20130812,727873.48254507
20130813,940834.771166796
20130814,828791.1563176
20130815,420402.63204859
20130816,687910.86132113
20130817,699796.15619434
20130818,494692.06569012
20130819,742580.88639233
20130820,1031450.59513089
20130821,904560.65946695
20130822,882391.48206257
20130823,1028415.81619738
20130824,865954.57163864
20130825,491704.41170416
20130826,964180.92879278
20130827,1331968.8303387
20130828,1247418.4866336
20130829,1409681.5207384
20130830,1274075.49856984
20130831,1534247.9047258
20130901,189800.72338198
20130902,389224.37033818
20130903,590505.18635188
20130904,739996.33504548
20130905,774318.67622768
20130906,726584.57827925
20130907,668535.61830881
20130908,399578.64862739
20130909,695867.25738827
20130910,789216.343202685
20130911,976619.011282304
20130912,985288.83846811
20130913,919219.9716447
20130914,703005.33922478
20130915,430106.58784443
20130916,961424.14114035
20130917,988183.27968887
20130918,938793.62718123
20130919,967693.00132654
20130920,928554.76384487
20130921,699130.8092176
20130922,442797.54825995
20130923,1015937.97404947
20130924,1107622.32629928
20130925,1246732.99490746
20130926,1279697.88462234
20130927,1362010.34326112
20130928,1056534.7242939
20130929,1127776.7459309
20130930,1666908.67114646
20131001,292495.66136752
20131002,413915.71205454
20131003,644512.89025346
20131004,574452.28383617
20131005,637464.98790081
20131006,421932.74998935
20131007,713876.819415744
20131008,815581.93028022
20131009,1078505.30226699
20131010,898755.474433945
20131011,842884.75854282
20131012,743571.150234079
20131013,358468.65744473
20131014,273290.92636216
20131015,422698.35402095
20131016,431582.05615817
20131017,661474.14199069
20131018,685810.14711673
20131019,692538.39481734
20131020,453510.3880528
20131021,902521.54817244
20131022,889321.92854596
20131023,909035.78920267
20131024,1140301.0072594
20131025,1025071.83589462
20131026,878388.68114888
20131027,539383.5283371
20131028,1325717.12135816
20131029,1294633.98557784
20131030,1448331.22980678
20131031,2127911.88589083
20131101,278954.23595481
20131102,250317.34912314
20131103,305113.32792679
20131104,549441.42737933
20131105,609402.9826561
20131106,908002.76308905
20131107,712373.14025782
20131108,773255.64785928
20131109,393709.81934685
20131110,442864.24488934
20131111,775353.89889301
20131112,887801.94144487
20131113,989211.90873516
20131114,978857.81030385
20131115,958510.52751924
20131116,727840.47198284
20131117,405374.57104092
20131118,929778.33759772
20131119,929696.88917698
20131120,912726.85441063
20131121,1058725.29990288
20131122,1004768.18190561
20131123,917932.3688114
20131124,516698.1518129
20131125,1167793.95986171
20131126,1227205.30015773
20131127,1440260.03703831
20131128,1539286.81509659
20131129,1737628.45185682
20131130,1888153.40072053
20131201,139054.9342645
20131202,356638.60439566
20131203,547179.57194971
20131204,821184.6828315
20131205,783890.15562493
20131206,761958.97232132
20131207,674561.9958912
20131208,404003.5581756
20131209,622724.696893486
20131210,952814.4443233
20131211,935628.765950148
20131212,1004305.27671145
20131213,813735.51019511
20131214,739715.747782661
20131215,446582.88091009
20131216,889460.6499402
20131217,1083130.41371429
20131218,1154677.78327544
20131219,1068612.42335757
20131220,1022990.79387777
20131221,884505.16249242
20131222,510829.84041734
20131223,1018510.80890461
20131224,1094574.34195979
20131225,868980.38964799
20131226,1206681.40429167
20131227,1144160.93890972
20131228,1176825.45773956
20131229,732337.29221661
20131230,1534766.18432769
20131231,1886923.3254544
20140101,132990.71918041
20140102,323532.5958491
20140103,554501.17271078
20140104,588865.20176603
20140105,263722.9451152
20140106,566369.60581151
20140107,783255.24110195
20140108,908940.48882886
20140109,726808.57213808
20140110,741646.58291739
20140111,635876.73923191
20140112,383872.22624963
20140113,815323.70122275
20140114,765411.79774572
20140115,709216.74587331
20140116,864488.33939531
20140117,901328.73160146
20140118,821741.26785038
20140119,446058.90426572
20140120,993933.11797538
20140121,1084332.70376038
20140122,1064294.48538691
20140123,1047613.29527679
20140124,1032358.80483394
20140125,809075.50515582
20140126,554646.27495617
20140127,1079170.62095954
20140128,1379468.24327887
20140129,1415900.52550572
20140130,1531274.47163549
20140131,1741988.64202384
20140201,120552.926027
